name,id,qid,display_name,full_names,duplicate_of
World Biodiversity Association,P212,Q16623477,World Biodiversity Association,,
Zoogdiervereniging,P213,Q2801006,Zoogdiervereniging,,
Zoological Institute of Russian Academy of Sciences,P214,Q4193891,"Zoological Institute, Russian Academy of Sciences",,
Zoological society of Pakistan,P268,Q8074120,Zoological Society of Pakistan,,
Zoologisk Museum,P215,Q220274,Zoologisk Museum,,
eBMS,P216,,European Butterfly Monitoring Scheme,,
iNaturalist,P224,Q16958215,iNaturalist,,
karch,P217,,karch,Koordinationsstelle für Amphibien- und Reptilienschutz in der Schweiz,
ČSAV,P242,Q927091,Československá akademie věd,ČSAV; Czechoslovak Academy of Sciences,
Владивосток Дальнаука,P218,,Vladivostok Dalnauka,Владивосток Дальнаука,
Государственное издательство,P243,Q25047643,Госиздат,Государственное издательство РСФСР,
Наукова думка,P219,Q6981212,Naukova Dumka,Наукова думка,
Печатница Художникъ,P244,,"Печатница ""Художникъ""",,
Российская академия наук,P220,Q83172,Rossiyskaya akademiya nauk,Российская академия наук,
